id,clusterkmeans,clustergmm,probcl0,probcl1,probcl2,probcl3,probcl4,probcl5,probcl6,probcl7,probcl8,probcl9,probmax,stability
9759,8,6,0.0,0.02,0.0,0.04,0.0,0.0,0.83,0.01,0.1,0.0,0.83,0.73
9760,9,8,0.05,0.01,0.0,0.0,0.0,0.0,0.1,0.0,0.67,0.17,0.67,0.5
9761,0,0,0.79,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.01,0.15,0.79,0.64
9762,9,0,0.81,0.0,0.01,0.0,0.0,0.0,0.16,0.0,0.0,0.02,0.81,0.65
9763,9,0,0.96,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.96,0.93
9764,0,0,0.96,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.96,0.94
9765,9,0,0.97,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.97,0.95
9766,2,0,0.64,0.29,0.05,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.64,0.35
9767,0,0,0.83,0.03,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.83,0.73
9768,0,0,0.84,0.01,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.69
9769,2,0,0.79,0.01,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.59
9770,2,2,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9771,1,2,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9772,2,2,0.0,0.0,0.96,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.96,0.92
9773,0,2,0.01,0.0,0.96,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.96,0.94
9774,2,0,0.51,0.01,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.04
9775,2,0,0.78,0.02,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.57
9776,1,2,0.0,0.0,0.98,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.98,0.97
9777,1,2,0.0,0.0,0.81,0.15,0.0,0.0,0.04,0.0,0.0,0.0,0.81,0.66
9778,1,2,0.0,0.0,0.97,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.97,0.95
9779,2,2,0.02,0.0,0.95,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.95,0.93
9780,0,2,0.01,0.0,0.5,0.0,0.0,0.0,0.01,0.0,0.0,0.48,0.5,0.02
9781,2,2,0.17,0.15,0.37,0.01,0.0,0.0,0.16,0.0,0.0,0.14,0.37,0.2
9785,2,2,0.16,0.05,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.63
9786,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9794,2,2,0.11,0.02,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.76
9795,2,2,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9796,2,2,0.01,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9798,2,2,0.22,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.55
9799,1,2,0.0,0.0,0.97,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.97,0.95
9800,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9801,1,2,0.0,0.0,0.98,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.98,0.97
9802,1,2,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9803,2,2,0.0,0.03,0.93,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.93,0.9
9804,2,1,0.0,0.89,0.08,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.89,0.81
9805,2,2,0.09,0.12,0.78,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.78,0.66
9809,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9810,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9811,1,2,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.98
9812,0,2,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99
9814,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9815,1,3,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4
9816,1,3,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
9818,1,3,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.02,0.0,0.0,0.98,0.96
9927,9,0,0.92,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.92,0.88
9929,2,1,0.03,0.87,0.04,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.87,0.83
9931,2,1,0.13,0.58,0.06,0.01,0.0,0.0,0.23,0.0,0.0,0.0,0.58,0.35
9937,2,0,0.63,0.12,0.22,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.63,0.41
9938,9,6,0.01,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.5
9939,9,6,0.0,0.03,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.97,0.94
9940,9,1,0.0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.95,0.9
9941,8,1,0.0,0.5,0.05,0.0,0.0,0.0,0.07,0.0,0.37,0.0,0.5,0.13
9942,8,8,0.0,0.0,0.21,0.0,0.0,0.0,0.04,0.0,0.74,0.0,0.74,0.53
9943,8,8,0.0,0.0,0.18,0.0,0.0,0.0,0.01,0.0,0.8,0.0,0.8,0.62
9944,8,8,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.84,0.0,0.84,0.75
9945,9,0,0.54,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.32,0.08,0.54,0.22
9946,7,8,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.68,0.29,0.68,0.39
9947,7,8,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.0,0.5,0.43,0.5,0.07
9948,7,4,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.21,0.09,0.7,0.49
